"","time","trap.id","nmales","ntrees"
"487",85,20,284,14
"488",81,20,241,17
"489",124,68,1160,39
"490",91,30,396,230
"491",341,42,26108,657
"492",161,13,6872,228
"493",187,43,16232,469
"494",88,16,277,15
"495",240,84,26608,562
"496",127,16,908,30
"497",113,68,417,25
"498",205,82,27933,557
"499",90,96,389,238
"500",133,72,1463,91
"501",103,62,797,330
"502",86,48,237,37
"503",100,20,283,25
"504",119,59,788,33
"505",212,44,33535,574
"506",93,31,298,23
"507",94,38,317,41
"508",222,24,34687,570
"509",112,16,379,51
"510",243,97,24420,577
"511",165,27,5638,251
"512",200,10,18425,344
"513",84,54,236,42
"514",168,94,3156,130
"515",122,88,1284,37
"516",187,84,13175,325
"517",145,48,2499,96
"518",99,96,479,262
"519",180,28,6337,222
"520",99,24,345,18
"521",148,46,5984,183
"522",96,58,284,24
"523",109,68,339,20
"524",242,13,42597,707
"525",79,68,220,13
"526",116,65,673,30
"527",90,62,420,261
"528",181,13,12604,352
"529",152,16,5567,179
"530",91,64,293,48
"531",172,28,8461,352
"532",95,87,307,21
"533",60,35,16,7
"534",90,49,372,232
"535",115,97,493,46
"536",74,85,29,33
"537",214,28,27054,582
"538",134,57,2726,140
"539",230,12,16911,357
"540",87,20,266,14
"541",173,65,2714,67
"542",113,69,557,26
"543",78,100,250,151
"544",96,21,276,13
"545",86,2,278,13
"546",192,99,18203,456
"547",218,16,17229,275
"548",193,71,27956,569
"549",126,65,1745,39
"550",123,49,1444,113
"551",269,55,45934,784
"552",86,85,422,239
"553",125,71,1346,34
"554",86,8,304,17
"555",91,41,381,212
"556",103,96,348,51
"557",350,57,27193,613
"558",89,96,361,56
"559",97,59,298,22
"560",90,61,300,20
"561",205,27,33214,529
"562",273,60,45475,738
"563",98,59,391,32
"564",251,55,43506,743
"565",182,87,4389,182
"566",178,59,10745,224
"567",156,68,3274,101
"568",74,65,153,52
"569",64,91,4,7
"570",108,88,417,27
"571",94,16,282,22
"572",101,16,320,15
"573",113,99,546,66
"574",97,5,293,17
"575",85,47,272,44
"576",216,48,29902,611
"577",83,2,319,16
"578",217,100,35279,565
"579",162,58,15366,311
"580",145,72,3493,192
"581",227,13,32934,664
"582",213,13,28128,523
"583",123,16,839,20
"584",286,48,51743,974
"585",87,32,271,18
"586",173,65,9299,368
"587",81,96,253,12
"588",97,21,288,15
"589",229,55,28310,508
"590",169,16,4892,137
"591",111,71,230,20
"592",139,16,1626,41
"593",81,80,296,185
"594",88,97,270,16
"595",274,68,38447,820
"596",212,2,31350,554
"597",97,64,325,44
"598",84,27,339,214
"599",179,68,5931,192
"600",301,94,37972,967
"601",96,87,287,14
"602",89,96,370,246
"603",115,91,900,84
"604",155,55,6394,290
"605",237,97,15141,334
"606",88,3,289,38
"607",130,72,1808,50
"608",87,24,268,14
"609",185,69,17032,357
"610",88,59,275,20
"611",127,68,1111,34
"612",234,13,38113,678
"613",106,90,496,61
"614",104,2,339,23
"615",176,59,11577,291
"616",126,24,717,19
"617",120,84,901,25
"618",82,77,288,37
"619",103,97,427,19
"620",99,44,387,41
"621",84,46,279,38
"622",172,100,11763,409
"623",71,46,85,15
"624",122,87,927,38
"625",205,28,26507,480
"626",189,13,18828,481
"627",107,53,1797,436
"628",256,72,41773,705
"629",113,84,363,30
"630",97,41,470,257
"631",74,65,128,10
"632",215,16,12953,182
"633",175,23,12191,291
"634",78,3,206,33
"635",105,58,245,15
"636",121,58,894,34
"637",81,59,266,16
"638",222,10,35700,611
"639",84,29,300,29
"640",216,68,34345,647
"641",191,16,10670,234
"642",76,41,170,26
"643",234,13,42556,765
"644",80,96,269,197
"645",118,8,701,29
"646",81,2,234,16
"647",245,28,44114,660
"648",84,48,264,53
"649",219,99,29140,568
"650",228,55,36693,650
"651",147,92,4952,181
"652",180,66,9961,378
"653",97,97,316,22
"654",115,16,716,27
"655",217,22,25988,602
"656",187,23,17757,503
"657",238,48,38549,633
"658",200,69,13867,242
"659",197,65,18816,434
"660",109,16,249,15
"661",187,16,14778,450
"662",212,2,32979,647
"663",215,68,34189,639
"664",181,23,11660,352
"665",239,2,51585,848
"666",92,2,256,11
"667",121,47,1768,106
"668",273,5,39057,781
"669",99,27,316,19
"670",182,48,6814,340
"671",98,82,327,20
"672",112,16,485,26
"673",87,62,240,40
"674",137,87,3903,142
"675",143,16,1712,43
"676",102,16,362,18
"677",70,21,69,10
"678",82,57,304,200
"679",129,94,1104,37
"680",176,22,9548,217
"681",209,28,23329,528
"682",154,72,5119,257
"683",108,24,364,32
"684",137,69,1290,37
"685",72,61,102,14
"686",132,29,2595,149
"687",221,25,32614,563
"688",280,13,28789,669
"689",82,16,261,19
"690",79,31,209,14
"691",226,70,33092,624
"692",130,16,640,25
"693",209,55,35793,597
"694",212,58,34088,567
"695",206,24,16917,278
"696",212,68,16057,281
"697",129,59,844,24
"698",87,91,291,39
"699",179,72,15592,429
"700",82,91,256,29
"701",245,28,42040,792
"702",103,17,341,67
"703",93,54,322,43
"704",135,49,3758,134
"705",71,68,86,10
"706",84,53,309,14
"707",136,25,1599,121
"708",75,41,156,25
"709",104,68,387,36
"710",67,86,17,10
"711",80,16,233,10
"712",84,68,283,18
"713",91,24,312,19
"714",71,58,89,8
"715",78,38,229,171
"716",177,23,4880,231
"717",128,2,2757,142
"718",100,61,319,24
"719",82,59,232,16
"720",305,16,43567,907
"721",123,68,1635,43
"722",113,65,467,26
"723",221,43,45915,653
"724",72,69,105,11
"725",167,28,11441,344
"726",147,72,9381,244
"727",84,53,277,16
"728",95,30,271,35
"729",106,29,398,60
"730",219,53,15978,316
"731",217,16,31472,530
"732",62,37,8,7
"733",119,72,1246,128
"734",128,84,1054,166
"735",112,68,531,32
"736",81,32,323,192
"737",109,16,268,23
"738",73,5,107,15
