sim,time,trap.id,nmales,ntrees,type,lure
495,104,15,309,33,redgrid,5
496,135,8,2395,178,redgrid,5
497,139,9,1298,38,redgrid,5
498,148,16,7272,184,redgrid,5
499,118,8,577,67,redgrid,5
500,98,15,289,14,redgrid,5
501,150,15,3226,115,redgrid,5
502,123,9,1539,125,redgrid,5
503,106,20,346,22,redgrid,5
504,88,14,316,41,redgrid,5
505,172,25,5984,835,redgrid,5
506,109,20,503,18,redgrid,5
507,121,20,1142,34,redgrid,5
508,134,15,1454,41,redgrid,5
509,145,20,3556,57,redgrid,5
510,89,16,271,46,redgrid,5
511,107,7,350,38,redgrid,5
512,97,15,286,14,redgrid,5
513,131,14,1697,43,redgrid,5
514,113,4,1191,90,redgrid,5
515,144,16,8802,676,redgrid,5
516,100,10,312,27,redgrid,5
517,111,4,1159,145,redgrid,5
518,147,20,2744,62,redgrid,5
519,159,20,4252,81,redgrid,5
520,140,20,2064,39,redgrid,5
521,115,17,1156,85,redgrid,5
522,125,4,1956,156,redgrid,5
523,125,9,2838,165,redgrid,5
524,164,19,2526,57,redgrid,5
525,81,15,252,21,redgrid,5
526,109,9,602,75,redgrid,5
527,186,12,1867,137,redgrid,5
528,134,10,1459,74,redgrid,5
529,142,8,5146,123,redgrid,5
530,112,17,2736,444,redgrid,5
531,154,19,3945,116,redgrid,5
532,134,20,1670,39,redgrid,5
533,98,19,292,20,redgrid,5
534,116,9,938,78,redgrid,5
535,138,16,6331,741,redgrid,5
536,138,20,2112,42,redgrid,5
537,124,15,792,26,redgrid,5
538,135,16,2476,151,redgrid,5
539,150,20,3347,443,redgrid,5
540,146,15,1095,32,redgrid,5
541,143,20,1959,41,redgrid,5
542,148,20,2665,170,redgrid,5
543,127,18,1689,40,redgrid,5
544,132,11,1953,122,redgrid,5
545,99,20,341,24,redgrid,5
546,137,13,2193,107,redgrid,5
547,141,3,3627,229,redgrid,5
548,140,14,2533,44,redgrid,5
549,183,20,2873,89,redgrid,5
550,140,11,3961,157,redgrid,5
551,88,12,262,34,redgrid,5
552,87,15,299,15,redgrid,5
553,145,9,2379,114,redgrid,5
554,126,15,1220,34,redgrid,5
555,131,14,1695,42,redgrid,5
556,142,11,4615,162,redgrid,5
557,113,17,3345,480,redgrid,5
558,176,20,2628,82,redgrid,5
559,113,15,458,22,redgrid,5
560,138,15,2017,62,redgrid,5
561,146,10,8050,191,redgrid,5
562,152,10,3929,194,redgrid,5
563,125,22,5286,634,redgrid,5
564,132,20,1470,38,redgrid,5
565,82,20,255,21,redgrid,5
566,61,20,12,6,redgrid,5
567,161,15,2837,63,redgrid,5
568,154,15,3660,50,redgrid,5
569,136,12,2357,131,redgrid,5
570,147,9,3164,168,redgrid,5
571,124,8,1067,101,redgrid,5
572,115,10,986,106,redgrid,5
573,146,8,3753,229,redgrid,5
574,93,9,336,34,redgrid,5
575,104,20,333,19,redgrid,5
576,130,12,2291,114,redgrid,5
577,125,21,6275,607,redgrid,5
578,154,11,7960,201,redgrid,5
579,160,14,3228,76,redgrid,5
580,102,21,654,344,redgrid,5
581,103,16,846,338,redgrid,5
582,130,9,3035,166,redgrid,5
583,134,4,1302,142,redgrid,5
584,159,20,3353,71,redgrid,5
585,167,9,6104,308,redgrid,5
586,107,9,359,38,redgrid,5
587,171,9,5008,159,redgrid,5
588,118,13,911,72,redgrid,5
589,125,19,994,33,redgrid,5
590,160,20,7576,702,redgrid,5
591,149,20,3205,66,redgrid,5
592,162,10,5925,156,redgrid,5
593,176,3,7423,307,redgrid,5
594,148,25,3414,54,redgrid,5
595,155,8,3621,206,redgrid,5
596,120,20,1413,39,redgrid,5
597,126,19,1755,56,redgrid,5
598,89,19,414,244,redgrid,5
599,104,4,354,46,redgrid,5
600,137,11,3485,142,redgrid,5
601,140,25,4771,667,redgrid,5
602,79,7,224,30,redgrid,5
603,118,9,1277,103,redgrid,5
604,117,9,1063,111,redgrid,5
605,132,14,1489,71,redgrid,5
606,128,8,1482,120,redgrid,5
607,150,19,3627,45,redgrid,5
608,140,9,3911,154,redgrid,5
609,186,20,3105,184,redgrid,5
610,149,17,6510,192,redgrid,5
611,145,12,4730,154,redgrid,5
612,140,19,2326,54,redgrid,5
613,146,10,3302,118,redgrid,5
614,120,13,1297,84,redgrid,5
615,127,23,4695,656,redgrid,5
616,137,14,1641,121,redgrid,5
617,148,20,2353,41,redgrid,5
618,86,9,290,28,redgrid,5
619,187,14,3570,133,redgrid,5
620,121,9,838,123,redgrid,5
621,130,8,2345,129,redgrid,5
622,144,10,6482,191,redgrid,5
623,136,25,2044,307,redgrid,5
624,113,20,573,22,redgrid,5
625,142,11,4575,145,redgrid,5
626,133,21,8785,960,redgrid,5
627,125,9,1985,155,redgrid,5
628,109,13,671,92,redgrid,5
629,125,10,1374,72,redgrid,5
630,153,16,7871,174,redgrid,5
631,172,11,10861,238,redgrid,5
632,114,10,789,80,redgrid,5
633,100,20,305,16,redgrid,5
634,142,20,2181,106,redgrid,5
635,109,21,2491,436,redgrid,5
636,118,20,720,31,redgrid,5
637,140,14,1196,29,redgrid,5
638,142,9,4441,244,redgrid,5
639,137,14,2021,70,redgrid,5
640,79,9,232,25,redgrid,5
641,125,11,1597,110,redgrid,5
642,176,15,3860,141,redgrid,5
643,144,20,2163,52,redgrid,5
644,126,20,1718,35,redgrid,5
645,157,17,6678,150,redgrid,5
646,131,11,2269,137,redgrid,5
647,114,25,3258,498,redgrid,5
648,100,21,502,266,redgrid,5
649,148,11,7126,185,redgrid,5
650,145,17,1310,58,redgrid,5
651,136,20,1347,36,redgrid,5
652,150,17,7452,194,redgrid,5
653,123,20,1170,51,redgrid,5
654,142,9,1658,76,redgrid,5
655,96,14,297,23,redgrid,5
656,83,19,285,15,redgrid,5
657,105,8,388,35,redgrid,5
658,127,20,1637,65,redgrid,5
659,116,9,1186,104,redgrid,5
660,133,9,1756,120,redgrid,5
661,122,16,3480,597,redgrid,5
662,143,19,3013,55,redgrid,5
663,133,4,2236,157,redgrid,5
664,114,8,546,58,redgrid,5
665,97,25,391,256,redgrid,5
666,142,20,2238,82,redgrid,5
667,80,20,248,17,redgrid,5
668,148,12,3610,172,redgrid,5
669,113,20,2941,464,redgrid,5
670,117,16,2797,470,redgrid,5
671,153,14,4853,115,redgrid,5
672,140,16,5830,582,redgrid,5
673,150,20,3202,59,redgrid,5
674,143,11,4024,151,redgrid,5
675,104,21,1042,351,redgrid,5
676,147,2,2513,45,redgrid,5
677,138,8,1099,87,redgrid,5
678,118,19,1245,33,redgrid,5
679,128,15,1451,34,redgrid,5
680,164,19,2701,65,redgrid,5
681,119,16,4737,567,redgrid,5
682,145,21,7591,987,redgrid,5
683,166,20,2566,59,redgrid,5
684,134,22,6927,841,redgrid,5
685,106,20,342,20,redgrid,5
686,112,11,657,73,redgrid,5
687,138,9,4224,184,redgrid,5
688,147,9,5411,189,redgrid,5
689,121,5,2266,122,redgrid,5
690,150,16,9675,622,redgrid,5
691,126,14,2596,162,redgrid,5
692,154,10,4350,189,redgrid,5
