time			temp
3:14:0			25.3
3:14:10			24
3:14:20			25.2
3:14:30			26.2
3:14:40			27
3:14:50			25.7
3:15:0			25.5
3:15:10			25.2
3:15:20			25.8
3:15:30			27.1
3:15:40			26.6
3:15:50			25.6
3:16:0			26.1
3:16:10			26.1
3:16:20			27.2
3:16:30			26.7
3:16:40			25.7
3:16:50			25.5
3:17:0			26.2
3:17:10			26.4
3:17:20			25.3
3:17:30			25.2
3:17:40			25.7
3:17:50			25.4
3:18:0			24.4
3:18:10			25
3:18:20			24.7
3:18:30			22.6
3:18:40			24.6
3:18:50			24
3:19:0			24
3:19:10			23.3
3:19:20			22.8
3:19:30			24.1
3:19:40			23.4
3:19:50			23.6
3:20:0			23.4
3:20:10			22.4
3:20:20			21.7
3:20:30			22.1
3:20:40			21.3
3:20:50			20.4
3:21:0			22.2
3:21:10			21.2
3:21:20			19.7
3:21:30			19.3
3:21:40			19
3:21:50			19.1
3:22:0			18.5
3:22:10			19
3:22:20			18.1
3:22:30			19
3:22:40			16.9
3:22:50			16.6
3:23:0			16.8
3:23:10			16.5
3:23:20			16.4
3:23:30			16.4
3:23:40			15.2
3:23:50			15
4:0:0			15.5
4:0:10			15.6
4:0:20			14.5
4:0:30			14.8
4:0:40			15.2
4:0:50			14
4:1:0			14
4:1:10			13.5
4:1:20			14.1
4:1:30			12.9
4:1:40			12.6
4:1:50			11.8
4:2:0			11.2
4:2:10			12.6
4:2:20			12.2
4:2:30			10.9
4:2:40			10.7
4:2:50			11.9
4:3:0			10.7
4:3:10			10.9
4:3:20			11.8
4:3:30			11.3
4:3:40			11.4
4:3:50			11.4
4:4:0			11.5
4:4:10			11.3
4:4:20			11.5
4:4:30			13.2
4:4:40			11.5
4:4:50			11.5
4:5:0			12.1
4:5:10			12.3
4:5:20			12.6
4:5:30			11.5
4:5:40			12.3
4:5:50			13.3
4:6:0			12.1
4:6:10			12.4
4:6:20			12.7
4:6:30			13.3
4:6:40			12.3
4:6:50			12.5
4:7:0			12.9
4:7:10			13.3
4:7:20			13.1
4:7:30			14.3
4:7:40			13.7
4:7:50			15
4:8:0			15.1
4:8:10			15.4
4:8:20			15.4
4:8:30			15.4
4:8:40			15.1
4:8:50			15
4:9:0			16.1
4:9:10			17.3
4:9:20			16
4:9:30			16.6
4:9:40			17.4
4:9:50			17.6
4:10:0			17.3
4:10:10			17.8
4:10:20			18.1
4:10:30			18.1
4:10:40			20
4:10:50			19.2
4:11:0			19.5
4:11:10			21
4:11:20			19.6
4:11:30			19.7
4:11:40			21.4
4:11:50			20.9
4:12:0			20.5
4:12:10			20.9
4:12:20			22.2
4:12:30			22.6
4:12:40			23.2
4:12:50			22.9
4:13:0			23.4
4:13:10			23.3
4:13:20			23.6
4:13:30			24.4
4:13:40			25.2
4:13:50			24
4:14:0			24.7
4:14:10			24.2
4:14:20			24.4
4:14:30			24.9
4:14:40			25.3
4:14:50			25.2
4:15:0			25.2
4:15:10			25
4:15:20			25.2
4:15:30			24.8
4:15:40			25.3
4:15:50			25.3
4:16:0			24.8
4:16:10			25
4:16:20			24
4:16:30			23.6
4:16:40			25.4
4:16:50			24.3
4:17:0			24.1
4:17:10			24.7
4:17:20			23.5
4:17:30			23.8
4:17:40			23.6
4:17:50			23.6
4:18:0			24.5
4:18:10			23.7
4:18:20			23.9
4:18:30			22.2
4:18:40			22.1
4:18:50			21.7
4:19:0			22.8
4:19:10			22.3
4:19:20			22.3
4:19:30			21.3
4:19:40			20.7
4:19:50			21.5
4:20:0			22.3
4:20:10			21
4:20:20			20.8
4:20:30			19.5
4:20:40			19.2
4:20:50			18.8
4:21:0			18.9
4:21:10			19.1
4:21:20			19.4
4:21:30			18.7
4:21:40			17.8
4:21:50			19.1
4:22:0			18.4
4:22:10			17.4
4:22:20			17.8
4:22:30			16.1
4:22:40			17
4:22:50			15.9
4:23:0			16.8
4:23:10			15
4:23:20			14.3
4:23:30			15
4:23:40			14.1
4:23:50			13.8
5:0:0			13.7
5:0:10			13.1
5:0:20			12.2
5:0:30			12.9
5:0:40			12.2
5:0:50			12.2
5:1:0			11.7
5:1:10			11.8
5:1:20			12.2
5:1:30			11.3
5:1:40			12.1
5:1:50			9.7
5:2:0			11.3
5:2:10			10.4
5:2:20			10.1
5:2:30			10.2
5:2:40			10.2
5:2:50			9.2
5:3:0			9
5:3:10			9.2
5:3:20			9.6
5:3:30			8
5:3:40			8.7
5:3:50			9.2
5:4:0			8.9
5:4:10			9.9
5:4:20			8.7
5:4:30			8.5
5:4:40			8.1
5:4:50			8.7
5:5:0			8.9
5:5:10			8.5
5:5:20			9.9
5:5:30			8.9
5:5:40			9.1
5:5:50			9.1
5:6:0			7.8
5:6:10			9.4
5:6:20			10.1
5:6:30			9.3
5:6:40			10
5:6:50			9.9
5:7:0			11
5:7:10			11.1
5:7:20			10.9
5:7:30			10.4
5:7:40			10.7
5:7:50			11.3
5:8:0			12.6
5:8:10			12.6
5:8:20			13.6
5:8:30			12.7
5:8:40			14.3
5:8:50			13.9
5:9:0			13.9
5:9:10			14.7
5:9:20			15.6
5:9:30			16.6
5:9:40			15.5
5:9:50			17.1
5:10:0			16
5:10:10			16.8
5:10:20			17
5:10:30			16.9
5:10:40			16.4
5:10:50			16.9
5:11:0			18.1
5:11:10			17.9
5:11:20			18.8
5:11:30			18.5
5:11:40			19.6
5:11:50			19.3
5:12:0			20
5:12:10			19.9
5:12:20			20.5
5:12:30			20.1
5:12:40			20.8
5:12:50			21.1
5:13:0			21.6
5:13:10			21.9
5:13:20			21.5
5:13:30			22.9
5:13:40			22.7
5:13:50			22.9
5:14:0			23.2
5:14:10			24
5:14:20			23.6
5:14:30			24.3
5:14:40			24.6
5:14:50			24.8
5:15:0			24.7
5:15:10			24.1
5:15:20			24
5:15:30			24
5:15:40			23.3
5:15:50			24.8
5:16:0			25
5:16:10			25.6
5:16:20			25.5
5:16:30			25
5:16:40			24.9
5:16:50			24
5:17:0			24.2
5:17:10			25.3
5:17:20			25.6
5:17:30			25.1
5:17:40			25
5:17:50			25.3
5:18:0			24.7
5:18:10			24.7
5:18:20			24
5:18:30			24.3
5:18:40			23.7
5:18:50			24
5:19:0			23.5
5:19:10			22.6
5:19:20			22.8
5:19:30			23
5:19:40			22.8
5:19:50			22.4
5:20:0			21.7
5:20:10			21.9
5:20:20			22.6
5:20:30			21.3
5:20:40			21.8
5:20:50			21.5
5:21:0			21.4
5:21:10			21.3
5:21:20			21
5:21:30			20.3
5:21:40			19.2
5:21:50			19.8
5:22:0			19.2
5:22:10			18.9
5:22:20			18.2
5:22:30			16.6
5:22:40			17.6
5:22:50			16.9
5:23:0			16.8
5:23:10			16.2
5:23:20			14.3
5:23:30			15.9
5:23:40			14.7
5:23:50			14.9
6:0:0			14.7
6:0:10			15.4
